,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,t
0,0,105.7868091,213.9318528,219.5035411,217.4236966,423.2618371,212.7429177,478.9350712,214.1985349,0
1,1,107.0235557,216.789506,220.3863085,217.4225181,423.314944,212.7655531,478.9537427,214.5015194,0.033333333
2,2,106.6926175,215.3432246,218.6589128,217.2774156,421.037288,212.8112985,478.9168281,214.4373626,0.066666667
3,3,109.4844687,217.3391082,220.0254574,216.5824659,421.139247,212.8566,479.2584261,214.946821,0.1
4,4,109.9896188,217.4192583,220.0439606,217.9169627,420.9875788,213.0470347,479.162497,215.0435612,0.133333333
5,5,109.685762,217.2595704,219.4491334,218.0244926,421.2382369,213.3446932,479.0397238,214.9605339,0.166666667
6,6,108.0930464,217.13819,220.3180195,218.046669,421.2933946,213.2097835,478.8673332,215.0941274,0.2
7,7,110.0066911,218.645812,218.6996688,217.313366,421.3608265,213.1442033,479.0307553,215.324155,0.233333333
8,8,110.0929476,219.2337217,220.4284267,217.3777982,421.6361556,213.1178337,478.8765771,215.1122174,0.266666667
9,9,109.876939,219.2988885,218.7368895,217.4201459,419.4801096,213.0335667,479.0186647,215.3922604,0.3
10,10,109.7711385,220.1640249,219.0211872,217.3221049,419.4325124,212.8935146,478.8946365,215.6105341,0.333333333
11,11,109.8772527,220.0925679,219.1131522,217.3173605,419.4158917,212.8745676,478.9145325,215.6153704,0.366666667
12,12,110.1873921,221.3906706,216.8966992,215.3227777,419.0724879,213.7703591,478.8320102,214.6769403,0.4
13,13,111.6451672,221.0345945,218.9057907,215.4791444,419.0903942,213.5472032,480.8841076,214.3530039,0.433333333
14,14,111.1316532,221.4008481,218.2736816,215.1625848,419.2540306,213.5259757,480.8666603,214.5218132,0.466666667
15,15,111.6238862,221.3725805,218.4116675,215.4503565,417.6040454,213.7042587,480.7389285,214.2751036,0.5
16,16,111.2966823,220.8653414,217.6672841,215.1637632,417.596638,213.1460553,480.7318577,213.8018253,0.533333333
17,17,111.3358466,220.8284114,217.6660596,215.1395208,417.5849453,213.0659205,480.7122985,213.7666095,0.566666667
18,18,112.4440196,220.6733303,218.7586373,215.3896433,417.5242474,212.9426269,480.6758431,213.6260524,0.6
19,19,112.5153848,220.2415272,216.8743698,215.0202676,417.783568,213.2347146,480.6781082,213.2200222,0.633333333
20,20,112.5045033,220.1384204,216.931012,214.9662272,415.7966374,213.0691805,480.4743738,213.1486264,0.666666667
21,21,115.3426431,220.3013681,218.8368895,214.5642681,416.3048715,213.1009221,480.7288581,212.777353,0.7
22,22,115.7107944,218.3668557,216.7058666,214.7750885,416.1528665,213.1589264,480.6284602,212.3085129,0.733333333
23,23,115.707106,218.3412512,216.6982755,214.8001421,416.1452142,213.1597069,480.6289805,212.3120177,0.766666667
24,24,116.2563869,217.1137026,218.1384657,214.6837815,415.9383271,213.2909589,480.3416525,212.4926727,0.8
25,25,116.2890775,217.217743,218.147572,213.0233279,415.6051774,213.1994376,480.2787508,212.4844542,0.833333333
26,26,117.6895064,218.9515054,218.0646824,213.0845003,413.5695783,212.9822964,480.363232,212.5147879,0.866666667
27,27,118.3854662,218.5581628,218.1953222,213.0748125,413.5882805,212.8885559,480.3791182,212.3955958,0.9
28,28,118.3498525,218.9568008,216.5288233,213.2581765,413.0546715,213.0065847,480.4344901,212.7263276,0.933333333
